,placeId,placeName,linkPlaceId,pinCode,mandalName,latitude,longitude,stateCode,district
6237,222468,JANGAMGUNTLA,222468,523333,CUMBUM,15.640820,79.141800,AP,PRAKASAM
6238,238852,RAMAGIRI,238852,575672,RAMAGIRI,14.309899,77.504852,AP,SRI SATHYA SAI
6239,222475,MADHANA PULLALA CHERUVU,222475,523346,BESTAVARIPETA,15.444585,79.132712,AP,PRAKASAM
6240,9481,MOTHUGUDEM,9481,507113,CHINTUR,17.831270,81.633960,AP,ASR
6241,238858,YEGUVAPALLI,238858,515621,RAMAGIRI,14.34091,77.39917,AP,SRI SATHYA SAI
6242,222472,ARDHAVEEDU,222472,523335,ARDHAVEEDU,15.675601,78.960694,AP,PRAKASAM
6243,222479,SOMIDEVI PALLI,222479,523368,RACHERLA,15.455892,79.036924,AP,PRAKASAM
6244,238863,KALAGALLA,238863,515711,KUDERU,14.8134260,77.4175210,AP,ANANTAPURAMU
6245,222478,KRISHNAM SETTY PALLI,222478,523357,GIDDALUR,15.378531,78.856364,AP,PRAKASAM
6246,222477,TATICHERLA,222477,523356,KOMAROLU,15.378184,79.032813,AP,PRAKASAM
6247,238865,MARUTLA-2,238865,515711,KUDERU,14.83281309,77.40015652,AP,ANANTAPURAMU
6248,222480,RAJUPALEM,222480,523356,KOMAROLU,15.324538,78.973359,AP,PRAKASAM
6249,238864,M.P.R.CROSS,238864,515711,KUDERU,14.753500,77.442300,AP,ANANTAPURAMU
6250,222487,PAPAMPETA,222487,533428,ADDATEEGALA,17.447686,82.038622,AP,ASR
6251,222486,MALLAVARAMMAMILLU,222486,533428,ADDATEEGALA,17.502783,82.01287,AP,ASR
6252,238870,PALACHERLA,238870,515722,RAPTADU,14.511542,77.499106,AP,ANANTAPURAMU
6253,222485,LATCHIREDDIPALEM,222485,533428,ADDATEEGALA,17.421784,81.985419,AP,ASR
6254,1669027478872,CHENNEKOTA,1669027478872,515641,KANAGANAPALLE,14.5733270,77.3780850,AP,SRI SATHYA SAI
6255,222491,GIRIJANAPURAM,222491,533430,PRATHIPADU,18.054735,82.67428,AP,KAKINADA
6256,238875,K.M.STONE-GANGAVARAM,238875,515741,BELUGUPPA,,,AP,ANANTAPURAMU
6257,238873,PAPINENI PALYAM,238873,515731,GARLADINNE,14.825566,77.593462,AP,ANANTAPURAMU
6258,9501,KALLERU,9501,494114,CHINTUR,17.817575,81.404922,AP,ASR
6259,238878,GORIDINDLA,238878,515751,ATMAKUR,14.574363,77.378071,AP,ANANTAPURAMU
6260,222493,AVIRI,222493,532455,GUMMALAKSHMIPURAM,16.179017,80.102791,AP,PP MANYAM
6261,238877,RAMASAGARAM,238877,515741,BELUGUPPA,14.7239320,77.2369120,AP,ANANTAPURAMU
6262,238876,KALVAPALLE,238876,515751,BELUGUPPA,14.633014,77.282009,AP,ANANTAPURAMU
6263,238883,OBAGANI PALLI,238883,515765,KAMBADUR,14.36313,77.15066,AP,ANANTAPURAMU
6264,238882,IPARSA PALLI,238882,515765,KAMBADUR,14.416960,77.262150,AP,ANANTAPURAMU
6265,222498,KMSTONE,222498,535523,GUMMALAKSHMIPURAM,15.8561560,78.2868170,AP,PP MANYAM
6266,222497,GOWDUGUDA,222497,535523,GUMMALAKSHMIPURAM,19.028863,83.637194,AP,PP MANYAM
6267,238881,SEEBAI,238881,515761,KALYANDURG,14.605311,77.2238683,AP,ANANTAPURAMU
6268,1493110751278,KURUMADDALI,11161,521157,PAMARRU,16.332117,80.928299,AP,KRISHNA
6269,238887,NIJAVALLI,238887,515766,KUNDURPI,14.2558,77.018273,AP,ANANTAPURAMU
6270,1400588303859,SUREPALLI,1400588303859,522256,BHATTIPROLU,16.8907470,80.8911370,AP,BAPATLA
6271,222501,SATYAWADA,222501,534218,UNDRAJAVARAM,16.7993,81.671426,AP,EAST GODAVARI
6272,238885,CHERLOPALLI,238885,515767,SETTUR,14.424815,77.056200,AP,ANANTAPURAMU
6273,222500,OPPANGI,222500,535523,GUMMALAKSHMIPURAM,19.003789,83.641975,AP,PP MANYAM
6274,238884,BASAPURAM,238884,515766,KUNDURPI,14.333200,76.990867,AP,ANANTAPURAMU
6275,222507,PATTENAPALEM,222507,534447,JANGAREDDIGUDEM,17.192610,81.277446,AP,ELURU
6276,238891,GAJARAMPALLI,238891,515775,PAMIDI,15.000766,77.615529,AP,ANANTAPURAMU
6277,238888,SEEGALAPALLI,238888,515766,KUNDURPI,14.2451777,76.9575269,AP,ANANTAPURAMU
6278,222510,SWARNAVARIGUDEM,222510,534447,JEELUGUMILLI,17.159450,81.234374,AP,ELURU
6279,1674135891692,YERRAMUKKAM,1674135891692,532243,SOMPETA,18.844209,84.569007,AP,SRIKAKULAM
6280,238897,P KOTHAPALLI,238897,515571,THANAKAL,14.24984,78.186902,AP,SRI SATHYA SAI
6281,1457420038496,IIIT-IDUPALAPAY-VEMPALLY,1457420038496,516329,VEMPALLE,14.337570,78.528290,AP,YSR KADAPA
6282,222516,PRATHIPADU BY PASS,222516,533432,PRATHIPADU,17.230549,82.199626,AP,KAKINADA
6283,1669444916760,CHERUKU CHERLA X ROAD,1669444916760,518405,MIDTHUR,15.75465,78.32791,AP,NANDYAL
6284,238907,GONDIPALLI,238907,515581,TALUPULA,14.2672000,78.1350820,AP,SRI SATHYA SAI
6285,1689926341573,KATRAGADDA,1689926341573,764057,GOSANI,19.29089,83.36271,OR,GAJAPATI
6286,222522,KINDRA X ROAD,222522,533436,RAJAVOMMANGI,17.534749,82.211477,AP,ASR
6287,1493892658833,PARNAPALLI,1493892658833,516396,LINGALA,14.5679760,77.9714770,AP,YSR KADAPA
6288,222520,YERRAVARAM TOLLGATE,222520,533435,YELESWARAM,17.215383,82.110676,AP,KAKINADA
6289,222527,KODULAGUMPA,222527,535524,KOMARADA,18.864225,83.479060,AP,PP MANYAM
6290,222525,VANGARA,222525,535523,GUMMALAKSHMIPURAM,19.127399,83.626544,AP,PP MANYAM
6291,222535,REGULAKUNTA,222535,534448,BUTTAYAGUDEM,17.236627,81.287189,AP,ELURU
6292,238918,UNDABANDA,238918,515812,VIDAPANAKAL,14.956507,77.191421,AP,ANANTAPURAMU
6293,222534,NUTI RAMANNAPALEM,222534,534313,BUTTAYAGUDEM,17.210000,81.383586,AP,ELURU
6294,238923,M.HANUMAPURAM,238923,515865,D HIREHAL,14.81282,76.93053,AP,ANANTAPURAMU
6295,222537,GOLLAGUDEMXROAD,222537,534449,KAMAVARAPUKOTA,17.015017,81.151274,AP,ELURU
6296,238920,CHERUVUDODDI,238920,515865,GUMMAGATTA,14.655306,76.801227,AP,ANANTAPURAMU
6297,222536,BORRAMPALEM.XROAD,222536,534451,KAMAVARAPUKOTA,17.054989,81.242518,AP,ELURU
6298,238927,VEERAPURAM,238927,515863,GUMMAGATTA,14.648002,76.854290,AP,ANANTAPURAMU
6299,238926,THAMMEPALLI,238926,515865,RAYADURG,14.77768576,76.89566787,AP,ANANTAPURAMU
